part_number,manufacturer,phoenix_name,category,bom_description,product_url,datasheet_pdf_url,downloads_url,folder
3214314,Phoenix Contact,"D-UT 2,5-3L",End cover (multi-level),END COVER MULTI-LEVEL TB,https://www.phoenixcontact.com/en-us/products/end-cover-d-ut-25-3l-3214314,https://www.phoenixcontact.com/us/products/3214314/pdf,https://www.phoenixcontact.com/en-us/products/end-cover-d-ut-25-3l-3214314#downloads,DIN Rail & Hardware
AIIS-3411P,Advantech,AIIS-3411P,Compact vision system,ADVANTECH COMPACT VISION SYSTEM,,,,Computers & Controllers
CGT4U,Connectwell,CGT4U,Ground terminal block,CONNECTWELL GROUND TERMINAL 4MM2 GREEN,https://www.connectwell.com/en/product/cgt4u/,,,Terminal Blocks
EKI-1526,Advantech,EKI-1526,Serial device server,ADVANTECH SERIAL DEVICE SERVER,,,,Network
FPR-1000-Series,Cisco,Cisco Firepower 1000 Series,Next-generation firewall,CISCO FIREPOWER 1000 SERIES,https://www.cisco.com/c/en/us/products/security/firepower-1000-series/index.html,,,Network
LMX-1002G-SFP-T,Antaira,LMX-1002G-SFP-T,Industrial managed Ethernet switch,ANTAIRA INDUSTRIAL MANAGED ETHERNET SWITCH,https://www.antaira.com/products/class1-div2-industrial-ethernet-switches-managed/LMX-1002G-SFP-T,,,Network
M4300-28G-PoE+,NETGEAR,M4300-28G-PoE+,Fully managed PoE+ switch,NETGEAR M4300 POE SWITCH,https://www.netgear.com/business/wired/switches/fully-managed/m4300-28g-poe-plus-1000w-psu/,,,Network
MIC-710AIX,Advantech,MIC-710AIX,AI inference system / AIoT gateway,ADVANTECH AI INFERENCE SYSTEM,https://www.advantech.com/en-us/products/mic-710aix,,,Computers & Controllers
MIC-733-AO,Advantech,MIC-733-AO,Fanless modular IPC,ADVANTECH FANLESS MODULAR IPC,https://www.advantech.com/en-us/products/mic-733-ao,,,Computers & Controllers
QS40.481,PULS,QS40.481,DIN rail power supply,PULS 24V DIN RAIL POWER SUPPLY,https://products.pulspower.com/us/qs40-481.html,,,Power
SDR-120-24,Mean Well,SDR-120-24,DIN rail power supply,MEAN WELL 24V DIN RAIL POWER SUPPLY,https://www.meanwell.com/Upload/PDF/SDR-120/SDR-120-SPEC.PDF,,,Power
WS-C3560CX-8PC-S,Cisco,WS-C3560CX-8PC-S,Compact PoE managed switch,CISCO CATALYST 3560CX,https://www.cisco.com/c/en/us/products/switches/catalyst-3560-cx-series-switches/index.html,,,Network
Unknown,Unknown,Unidentified white enclosure,Enclosure,UNIDENTIFIED WHITE ENCLOSURE,,,,Enclosures
RPM22BD,Schneider Electric,Schneider Electric RPM22BD Harmony Relay,"Plug-in electromechanical relay (2 C/O, DIN rail)",SCHNEIDER HARMONY RELAY RPM22BD,https://www.se.com/us/en/product/RPM22BD/plugin-relay-harmony-electromechanical-relays-15a-2co-with-led-lockable-test-button-24v-dc/,https://www.se.com/us/en/product/download-pdf/RPM22BD?filename=Schneider+Electric_Harmony-Electromechanical-Relays_RPM22BD.pdf,,Protection
CDC22-24,CBI Electric,CBI / American Electrical CDC22-24 DC Contactor,"DC contactor (DIN rail, 3PST-NO, 24 V DC coil)",CBI CDC22-24 DC CONTACTOR 40A,https://www.americanelectrical.com/item/din-rail-mounted-contactors/direct-current-dc-din-rail-mounted-contactors/cdc22-24-1,https://www.americanelectrical.com/Asset/contactor-spec.pdf,,Power
VAL-US-120-40-P,Phoenix Contact,Phoenix Contact VAL-US-120/40-P,Type 1 surge protection plug (replacement),PHOENIX VAL-US TYPE 1 SURGE PROTECTION PLUG,https://www.phoenixcontact.com/en-us/products/replacement-plug-val-us-12040-p-2910335,https://www.phoenixcontact.com/us/products/2910335/pdf,,Protection
S202-C0-5,ABB,ABB S202-C0.5 Miniature Circuit Breaker,"Miniature circuit breaker (S200, 2-pole, C-curve, 0.5 A)",ABB S202-C0.5 MCB,https://new.abb.com/products/2CDS252001R0984/s202-c0-5,https://library.e.abb.com/public/29f4496f68574f05b13d43706c9082d8/2CDS207104P0002_instruction%20manual_202302_300dpi.pdf,,Protection
UCM,SunForge LLC (formerly Blue Sky Energy),Blue Sky / SunForge Universal Communication Module (UCM),Communication / network interface module,BLUE SKY UCM COMMUNICATION MODULE,https://sunforgellc.com/product/ucm/,https://sunforgellc.com/wp-content/uploads/2022/11/UCM_DataSheet_Rev-2.0_AP.pdf,,Network
IPN-ProRemote,SunForge LLC (formerly Blue Sky Energy),Blue Sky / SunForge IPN ProRemote,Remote display / system controller,BLUE SKY IPN-PROREMOTE DISPLAY/CONTROLLER,https://sunforgellc.com/product/ipn-proremote/,https://sunforgellc.com/wp-content/uploads/2022/04/IPN-ProRemoteS_Data-Sheet-Rev.-2.0_AP.pdf,,Computers & Controllers
3024iL,SunForge LLC (formerly Blue Sky Energy),Blue Sky / SunForge Solar Boost 3024iL,"MPPT solar charge controller (12/24 V, 40 A)",BLUE SKY SOLAR BOOST 3024iL MPPT CONTROLLER,https://sunforgellc.com/product/sb3024il/,https://sunforgellc.com/wp-content/uploads/2022/04/SB3024DiL_Data-Sheet-Rev.-3.0_AP-N.pdf,,Power
1524iX,SunForge LLC (formerly Blue Sky Energy),Blue Sky / SunForge Solar Boost 1524iX,"MPPT solar charge controller (12/24 V, 15 A)",BLUE SKY SOLAR BOOST 1524iX MPPT CONTROLLER,https://sunforgellc.com/product/sb1524ix/,https://sunforgellc.com/wp-content/uploads/2022/04/SB1524iX-Li_Data-Sheet-Rev.-2.0_AP.pdf,,Power
TMC 72C 25A,Phoenix Contact,Phoenix Contact TMC 72C 25A Thermomagnetic Circuit Breaker,"Thermomagnetic device circuit breaker (1-pole, 25 A)",PHOENIX TMC 72C 25A CIRCUIT BREAKER,https://www.phoenixcontact.com/en-us/products/thermomagnetic-device-circuit-breakers-tmc-72c-25a-1020008,https://www.phoenixcontact.com/us/products/1020008/pdf,,Protection
ET-2260,ICP DAS,ICP DAS ET-2260 Ethernet I/O Module,Ethernet digital I/O module (Modbus TCP),ICP DAS ET-2260 ETHERNET I/O MODULE,https://www.icpdas.com/en/product/ET-2260,https://www.icpdas.com/web/product/download/io_and_unit/ethernet/et2200/document/data_sheet/(P)ET-2260_en.pdf,,Computers & Controllers
EDS-P510A-8PoE-2GTXSFP,Moxa,Moxa EDS-P510A-8PoE-2GTXSFP Managed PoE+ Ethernet Switch,Industrial managed PoE+ Ethernet switch (10-port),MOXA EDS-P510A MANAGED POE+ SWITCH,https://www.moxa.com/en/products/industrial-network-infrastructure/ethernet-switches/poe-switches/eds-p510a-series/eds-p510a-8poe-2gtxsfp,https://www.moxa.com/getmedia/9c9d6bec-4262-4d5b-8635-b1a285d2996d/moxa-eds-p510a-series-datasheet-v1.1.pdf,,Network
P5150A,Moxa,Moxa NPort P5150A Serial Device Server,1-port serial-to-Ethernet device server with PoE,MOXA NPORT P5150A SERIAL DEVICE SERVER,https://www.moxa.com/en/products/industrial-edge-connectivity/serial-device-servers/general-device-servers/nport-p5150a-series/nport-p5150a,https://www.moxa.com/getmedia/ecf5ced1-60b5-49d5-b297-0357fc8e582f/moxa-nport-p5150a-series-datasheet-v1.4.pdf,,Network
PET-7026,ICP DAS,ICP DAS PET-7026 PoE Ethernet I/O Module,PoE Ethernet mixed I/O module (Modbus TCP),ICP DAS PET-7026 POE ETHERNET I/O MODULE,https://www.icpdas.com/en/product/PET-7026,https://www.icpdas.com/web/product/download/io_and_unit/ethernet/et7000_et7200/document/data_sheet/ET-7x26_PET-7x26_en.pdf,,Computers & Controllers
PT 4-24DC-ST,Phoenix Contact,Phoenix Contact PLUGTRAB PT 4-24DC-ST Surge Protection Plug,"Pluggable surge protection (MCR, 4 lines, 24 V DC)",PHOENIX PLUGTRAB PT 4-24DC-ST SURGE PROTECTION,https://www.phoenixcontact.com/en-us/products/surge-protection-for-measurement-and-control-technology-pt-4-24dc-st-2839240,https://www.phoenixcontact.com/us/products/2839240/pdf,,Protection
